image_path,n_boxes,mean_conf,gt_chars,pred_chars,doc_similarity
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0022.jpg,87,0.9828199866204362,1037,956,0.5679879578524837
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0660.jpg,55,0.9847834712893541,568,529,0.8477666362807658
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0679.jpg,107,0.9836827122505628,1221,1160,0.745905081898362
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0144.jpg,65,0.9830357293846972,728,677,0.7459074733096085
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0458.jpg,102,0.984617355368737,1051,992,0.7498776309348997
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0689.jpg,76,0.9849203734416988,855,792,0.7310261080752884
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1440.jpg,108,0.9817299529661211,1316,1224,0.5850393700787402
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1014.jpg,87,0.9813614044436381,999,922,0.6132222800624675
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1219.jpg,92,0.9856551964015816,951,896,0.7049269085002707
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0013.jpg,82,0.9801139403838482,829,792,0.7267119062307218
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1446.jpg,76,0.9873828591713779,802,759,0.8097373478539398
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1265.jpg,107,0.9833243304878513,1270,1176,0.5486508585445625
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1252.jpg,55,0.9867327683693653,582,547,0.8715677590788308
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0776.jpg,91,0.9832931658166866,841,804,0.8182370820668693
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1477.jpg,83,0.9861498090964387,870,819,0.8099467140319716
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1472.jpg,47,0.9850298783052467,564,525,0.7529843893480257
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0396.jpg,78,0.9844956584932059,848,794,0.5200974421437271
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0084.jpg,67,0.9814223179178094,738,694,0.7206703910614525
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0368.jpg,56,0.984607437986258,596,560,0.8217993079584776
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1010.jpg,68,0.9835681293929653,747,704,0.5844245348035837
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1270.jpg,107,0.9841307520316399,1174,1106,0.5736842105263158
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1412.jpg,91,0.986058672054543,903,859,0.7491486946651532
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0223.jpg,65,0.9834420578262703,701,654,0.7527675276752768
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1175.jpg,94,0.9814371667839523,1010,947,0.6550843127235565
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1468.jpg,108,0.9845864037005427,1174,1105,0.7476963580517771
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0232.jpg,108,0.9820820760032951,1232,1161,0.7597158378604263
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0800.jpg,85,0.9838065882053677,899,852,0.7824100513992005
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0428.jpg,46,0.9805677343818376,474,448,0.789587852494577
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0024.jpg,47,0.9853852466147973,532,501,0.8073572120038722
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1009.jpg,57,0.9824058248433665,687,633,0.7257575757575757
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0070.jpg,87,0.9837085665948763,993,931,0.29625779625779625
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0395.jpg,87,0.981746456786987,999,943,0.6930998970133883
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0294.jpg,57,0.9877802836954913,674,618,0.7012383900928792
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0307.jpg,73,0.9856951524595696,764,718,0.7773279352226721
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0353.jpg,77,0.9861017567380302,864,802,0.4837935174069628
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0430.jpg,107,0.9820598220721152,1254,1172,0.6372629843363561
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0811.jpg,56,0.9842877033303851,608,569,0.7612574341546304
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0799.jpg,65,0.9853146250565806,680,637,0.683371298405467
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0559.jpg,57,0.984460237462747,669,622,0.715724244771495
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1011.jpg,46,0.9802296666032736,459,435,0.8344519015659956
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1057.jpg,84,0.9804059824588788,896,840,0.7949308755760369
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1311.jpg,65,0.984752534911054,715,675,0.8115107913669065
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1202.jpg,57,0.9837610437203281,694,644,0.7713004484304933
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1405.jpg,67,0.9858521229194995,777,721,0.8050734312416555
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0967.jpg,87,0.9840016542224991,1047,971,0.5639246778989098
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1411.jpg,74,0.9845363404902859,796,760,0.7673521850899743
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0849.jpg,87,0.983198574810834,993,920,0.6481965499215891
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1353.jpg,53,0.9866832163970118,536,504,0.9038461538461539
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0285.jpg,57,0.9852691905410256,635,599,0.8087520259319287
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0771.jpg,95,0.9851877435000045,1031,968,0.6873436718359179
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0973.jpg,64,0.9833467793297762,662,620,0.8018720748829953
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0187.jpg,105,0.9849935262021154,1184,1107,0.6599738105630729
